玩家名,行,列,用时/秒,时间,UNIX时间戳
黑泽露比,14,14,'3.14,Tue Dec 13 2022 08:53:22 GMT+0800 (中国标准时间),1670892802
津岛善子,14,10,'2.36,Tue Dec 13 2022 10:24:42 GMT+0800 (中国标准时间),1670898282
高咲侑,14,10,'2.23,Tue Dec 13 2022 10:32:25 GMT+0800 (CST),1670898745
高咲侑,14,10,'1.59,Tue Dec 13 2022 10:32:35 GMT+0800 (CST),1670898755
高咲侑,14,10,'2.98,Tue Dec 13 2022 10:36:05 GMT+0800 (CST),1670898965
高咲侑,14,10,'0.80,Tue Dec 13 2022 10:36:21 GMT+0800 (CST),1670898981
防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏  防 止 刷 屏,14,10,'2.61,Tue Dec 13 2022 11:33:09 GMT+0800 (CST),1670902389
张浩文,14,10,'2.95,Tue Dec 13 2022 12:23:10 GMT+0800 (中国标准时间),1670905390
黑泽露比,14,10,'1.88,Tue Dec 13 2022 12:52:45 GMT+0800 (CST),1670907165
黑泽露比,14,10,'2.25,Tue Dec 13 2022 12:54:39 GMT+0800 (CST),1670907279
优木雪菜,14,10,'2.09,Tue Dec 13 2022 15:26:25 GMT+0800 (中国标准时间),1670916385
优木雪菜,14,10,'1.33,Tue Dec 13 2022 15:26:32 GMT+0800 (中国标准时间),1670916392
优木雪菜,14,10,'1.62,Tue Dec 13 2022 15:26:37 GMT+0800 (中国标准时间),1670916397
优木雪菜,14,10,'1.52,Tue Dec 13 2022 15:26:45 GMT+0800 (中国标准时间),1670916405
优木雪菜,20,14,'1.62,Tue Dec 13 2022 15:26:53 GMT+0800 (中国标准时间),1670916413
优木雪菜,20,14,'1.40,Tue Dec 13 2022 15:26:58 GMT+0800 (中国标准时间),1670916418
优木雪菜,20,14,'5.88,Tue Dec 13 2022 15:27:10 GMT+0800 (中国标准时间),1670916430
优木雪菜,20,14,'1.62,Tue Dec 13 2022 15:27:32 GMT+0800 (中国标准时间),1670916452
优木雪菜,20,14,'3.08,Tue Dec 13 2022 15:27:50 GMT+0800 (中国标准时间),1670916470
高坂穗乃果,14,10,'1.75,Tue Dec 13 2022 15:29:19 GMT+0800 (中国标准时间),1670916559
東條希,14,10,'2.72,Tue Dec 13 2022 16:16:47 GMT+0800 (CST),1670919407
叶月恋,14,10,'2.47,Tue Dec 13 2022 16:17:11 GMT+0800 (中国标准时间),1670919431
维恩·玛格丽特,14,10,'1.24,Tue Dec 13 2022 16:51:15 GMT+0800 (中国标准时间),1670921475
维恩·玛格丽特,14,10,'1.27,Tue Dec 13 2022 16:51:25 GMT+0800 (中国标准时间),1670921485
维恩·玛格丽特,20,14,'4.52,Tue Dec 13 2022 16:51:34 GMT+0800 (中国标准时间),1670921494
w,20,20,'4.30,Tue Dec 13 2022 16:51:45 GMT+0800 (中国标准时间),1670921505
w,20,20,'1.53,Tue Dec 13 2022 16:51:57 GMT+0800 (中国标准时间),1670921517
disjuaned,14,10,'1.77,Tue Dec 13 2022 17:59:19 GMT+0800 (中国标准时间),1670925559
disjuaned,14,10,'2.83,Tue Dec 13 2022 18:01:17 GMT+0800 (中国标准时间),1670925677
disjuaned,20,14,'3.83,Tue Dec 13 2022 18:01:36 GMT+0800 (中国标准时间),1670925696
disjuaned,20,14,'1.03,Tue Dec 13 2022 18:01:41 GMT+0800 (中国标准时间),1670925701
disjuaned,20,14,'1.51,Tue Dec 13 2022 18:02:43 GMT+0800 (中国标准时间),1670925763
disjuaned,20,14,'1.18,Tue Dec 13 2022 18:02:49 GMT+0800 (中国标准时间),1670925769
disjuaned,20,14,'2.47,Tue Dec 13 2022 18:02:55 GMT+0800 (中国标准时间),1670925775
disjuaned,30,14,'1.25,Tue Dec 13 2022 18:03:40 GMT+0800 (中国标准时间),1670925820
disjuaned,30,14,'1.33,Tue Dec 13 2022 18:04:10 GMT+0800 (中国标准时间),1670925850
disjuaned,30,14,'2.81,Tue Dec 13 2022 18:05:09 GMT+0800 (中国标准时间),1670925909
disjuaned,30,14,'4.68,Tue Dec 13 2022 18:05:17 GMT+0800 (中国标准时间),1670925917
disjuaned,30,14,'2.40,Tue Dec 13 2022 18:05:23 GMT+0800 (中国标准时间),1670925923
disjuaned,30,14,'1.56,Tue Dec 13 2022 18:05:28 GMT+0800 (中国标准时间),1670925928
disjuaned,30,14,'2.32,Tue Dec 13 2022 18:05:33 GMT+0800 (中国标准时间),1670925933
disjuaned,14,10,'1.88,Tue Dec 13 2022 18:06:07 GMT+0800 (中国标准时间),1670925967
disjuaned,14,10,'0.79,Tue Dec 13 2022 18:06:11 GMT+0800 (中国标准时间),1670925971
