玩家名,行,列,用时/秒,时间,UNIX时间戳
Chalk,14,10,'2.00,Tue Jan 01 2013 01:22:11 GMT+0800 (中国标准时间),1356974531
林瑜,20,14,'4.31,Tue Apr 04 2023 11:42:28 GMT+0800 (中国标准时间),1680579748
邱张杰,20,14,'2.78,Tue Apr 04 2023 11:42:45 GMT+0800 (中国标准时间),1680579765
邱庆节,20,14,'3.48,Tue Apr 04 2023 11:47:44 GMT+0800 (中国标准时间),1680580064
张梓俊,20,14,'2.49,Tue Apr 04 2023 11:48:11 GMT+0800 (中国标准时间),1680580091
宫下爱,14,10,'2.78,Tue Apr 04 2023 14:21:23 GMT+0800 (中国标准时间),1680589283
宫下爱,14,10,'1.94,Tue Apr 04 2023 14:21:44 GMT+0800 (中国标准时间),1680589304
涩谷香音,14,10,'1.57,Tue Apr 04 2023 16:24:50 GMT+0800 (中国标准时间),1680596690
朝香果林,14,10,'2.75,Tue Apr 04 2023 17:29:45 GMT+0800 (中国标准时间),1680600585
园田海未,14,10,'1.78,Tue Apr 04 2023 18:34:18 GMT+0800 (中国标准时间),1680604458
园田海未,14,10,'1.03,Tue Apr 04 2023 18:34:43 GMT+0800 (中国标准时间),1680604483
涩谷香音,14,10,'1.73,Tue Apr 04 2023 23:05:08 GMT+0800 (中国标准时间),1680620708
樱小路希奈子,14,10,'2.24,Wed Apr 05 2023 09:33:34 GMT+0800 (中国标准时间),1680658414
黑泽黛雅,20,14,'4.09,Wed Apr 05 2023 09:34:33 GMT+0800 (中国标准时间),1680658473
黑泽黛雅,20,14,'2.84,Wed Apr 05 2023 09:34:45 GMT+0800 (中国标准时间),1680658485
黑泽黛雅,20,14,'1.35,Wed Apr 05 2023 09:34:50 GMT+0800 (中国标准时间),1680658490
钟岚珠,14,10,'2.59,Wed Apr 05 2023 09:45:31 GMT+0800 (CST),1680659131
我不知道该输入什么,14,10,'1.76,Wed Apr 05 2023 16:49:39 GMT+0800 (中国标准时间),1680684579
我不知道该输入什么,20,14,'2.45,Wed Apr 05 2023 16:50:42 GMT+0800 (中国标准时间),1680684642
我不知道该输入什么,20,14,'2.05,Wed Apr 05 2023 16:51:04 GMT+0800 (中国标准时间),1680684664
我不知道该输入什么,20,14,'2.53,Wed Apr 05 2023 16:51:34 GMT+0800 (中国标准时间),1680684694
我不知道该输入什么,20,14,'1.44,Wed Apr 05 2023 16:51:43 GMT+0800 (中国标准时间),1680684703
我不知道该输入什么,20,20,'2.71,Wed Apr 05 2023 16:52:11 GMT+0800 (中国标准时间),1680684731
我不知道该输入什么,100,20,'2.37,Wed Apr 05 2023 16:52:37 GMT+0800 (中国标准时间),1680684757
圣泽悠奈,100,20,'18.45,Wed Apr 05 2023 19:17:22 GMT+0800 (中国标准时间),1680693442
