玩家名,行,列,用时/秒,时间,UNIX时间戳
mashiro_cxh,14,10,'1.01,Wed Jun 29 2022 10:25:22 GMT+0800 (中国标准时间),1656469522
mashiro_cxh,14,10,'1.77,Wed Jun 29 2022 10:25:31 GMT+0800 (中国标准时间),1656469531
mashiro_cxh,14,10,'1.18,Wed Jun 29 2022 10:25:46 GMT+0800 (中国标准时间),1656469546
mashiro_cxh,14,10,'1.82,Wed Jun 29 2022 10:26:40 GMT+0800 (中国标准时间),1656469600
mashiro_cxh,14,10,'1.76,Wed Jun 29 2022 10:27:02 GMT+0800 (中国标准时间),1656469622
ghostink,14,10,'2.43,Wed Jun 29 2022 10:56:09 GMT+0800 (中国标准时间),1656471369
松浦果南,14,10,'2.14,Wed Jun 29 2022 11:35:16 GMT+0800 (中国标准时间),1656473716
Nmsl,14,10,'2.55,Wed Jun 29 2022 11:54:32 GMT+0800 (HKT),1656474872
渡边曜,14,10,'2.38,Wed Jun 29 2022 12:20:46 GMT+0800 (中国标准时间),1656476446
白虎诛仙,14,10,'1.66,Wed Jun 29 2022 14:18:05 GMT+0800 (CST),1656483485
ddordie,14,10,'2.76,Wed Jun 29 2022 14:37:53 GMT+0800 (中国标准时间),1656484673
ddordie,14,10,'1.44,Wed Jun 29 2022 14:38:33 GMT+0800 (中国标准时间),1656484713
米娅·泰勒,14,10,'2.58,Wed Jun 29 2022 14:41:12 GMT+0800 (中国标准时间),1656484872
米娅·泰勒,14,10,'2.94,Wed Jun 29 2022 14:43:51 GMT+0800 (中国标准时间),1656485031
米娅·泰勒,14,10,'2.37,Wed Jun 29 2022 14:44:04 GMT+0800 (中国标准时间),1656485044
米娅·泰勒,14,10,'1.60,Wed Jun 29 2022 14:44:19 GMT+0800 (中国标准时间),1656485059
源,14,10,'2.12,Wed Jun 29 2022 14:56:58 GMT+0800 (中国标准时间),1656485818
渡边曜,14,10,'2.61,Wed Jun 29 2022 16:31:15 GMT+0800 (中国标准时间),1656491475
doge,14,10,'1.65,Wed Jun 29 2022 16:31:30 GMT+0800 (中国标准时间),1656491490
唐可可,14,10,'1.23,Wed Jun 29 2022 16:31:44 GMT+0800 (中国标准时间),1656491504
人外娘香,14,10,'1.59,Wed Jun 29 2022 18:13:22 GMT+0800 (台北標準時間),1656497602
绚濑绘里,14,10,'2.38,Wed Jun 29 2022 18:32:19 GMT+0800 (CST),1656498739
津岛善子,14,10,'1.42,Wed Jun 29 2022 20:04:07 GMT+0800 (中国标准时间),1656504247
llbsl,20,14,'2.55,Wed Jun 29 2022 20:06:37 GMT+0800 (中国标准时间),1656504397
llbsl,20,14,'1.52,Wed Jun 29 2022 20:06:53 GMT+0800 (中国标准时间),1656504413
llbsl,20,14,'6.00,Wed Jun 29 2022 20:08:10 GMT+0800 (中国标准时间),1656504490
llbsl,20,14,'5.70,Wed Jun 29 2022 20:08:20 GMT+0800 (中国标准时间),1656504500
llbsl,20,14,'1.04,Wed Jun 29 2022 20:08:44 GMT+0800 (中国标准时间),1656504524
llbsl,20,14,'2.83,Wed Jun 29 2022 20:09:23 GMT+0800 (中国标准时间),1656504563
llbsl,20,14,'4.37,Wed Jun 29 2022 20:09:32 GMT+0800 (中国标准时间),1656504572
llbsl,20,14,'3.90,Wed Jun 29 2022 20:10:11 GMT+0800 (中国标准时间),1656504611
llbsl,20,14,'1.39,Wed Jun 29 2022 20:10:16 GMT+0800 (中国标准时间),1656504616
llbsl,20,14,'4.79,Wed Jun 29 2022 20:10:25 GMT+0800 (中国标准时间),1656504625
llbsl,20,14,'4.87,Wed Jun 29 2022 20:10:32 GMT+0800 (中国标准时间),1656504632
