玩家名,行,列,用时/秒,时间,UNIX时间戳
K,14,14,'1.68,Sun Oct 23 2022 17:40:58 GMT+0800 (中国标准时间),1666518058
K,14,14,'1.19,Sun Oct 23 2022 17:41:25 GMT+0800 (中国标准时间),1666518085
绚濑绘里,14,10,'2.69,Sun Oct 23 2022 20:33:12 GMT+0800 (中国标准时间),1666528392
111,14,10,'2.23,Sun Oct 23 2022 21:30:46 GMT+0800 (中国标准时间),1666531846
西木野真姬,14,10,'1.83,Sun Oct 23 2022 23:37:41 GMT+0800 (中国标准时间),1666539461
西木野真姬,14,10,'1.76,Sun Oct 23 2022 23:38:00 GMT+0800 (中国标准时间),1666539480
高坂穗乃果,14,14,'2.30,Mon Oct 24 2022 10:15:04 GMT+0800 (CST),1666577704
朝香果林,14,10,'1.94,Mon Oct 24 2022 11:48:07 GMT+0800 (CST),1666583287
柊摩央,14,10,'2.92,Mon Oct 24 2022 13:43:25 GMT+0800 (中国标准时间),1666590205
鹿角理亚,14,10,'1.80,Mon Oct 24 2022 13:56:19 GMT+0800 (CST),1666590979
中须霞,14,10,'1.24,Mon Oct 24 2022 14:12:30 GMT+0800 (CST),1666591950
terrae,14,10,'2.68,Mon Oct 24 2022 16:25:21 GMT+0800 (中国标准时间),1666599921
老逼登,14,10,'1.33,Mon Oct 24 2022 17:44:31 GMT+0800 (中国标准时间),1666604671
西木野真姬,10,10,'1.25,Mon Oct 24 2022 18:11:01 GMT+0800 (中国标准时间),1666606261
老逼登,14,10,'1.98,Mon Oct 24 2022 18:23:46 GMT+0800 (中国标准时间),1666607026
米女芽衣,14,10,'1.00,Mon Oct 24 2022 19:40:52 GMT+0800 (CST),1666611652
松浦果南,14,10,'1.97,Mon Oct 24 2022 20:32:06 GMT+0800 (China Standard Time),1666614726
松浦果南,14,10,'1.51,Mon Oct 24 2022 20:32:20 GMT+0800 (China Standard Time),1666614740
鹿角理亚,14,10,'2.08,Tue Oct 25 2022 00:04:12 GMT+0800 (中国标准时间),1666627452
鹿角理亚,20,14,'5.93,Tue Oct 25 2022 00:04:39 GMT+0800 (中国标准时间),1666627479
HTR,20,14,'1.32,Tue Oct 25 2022 09:15:51 GMT+0800 (中国标准时间),1666660551
HTR,15,15,'0.95,Tue Oct 25 2022 09:17:18 GMT+0800 (中国标准时间),1666660638
夕阳,14,10,'2.52,Tue Oct 25 2022 09:26:39 GMT+0800 (CST),1666661199
Focopp,14,10,'2.34,Tue Oct 25 2022 11:13:43 GMT+0800 (中国标准时间),1666667623
Focopp,14,10,'2.68,Tue Oct 25 2022 11:14:02 GMT+0800 (中国标准时间),1666667642
优木杏树,14,10,'2.57,Tue Oct 25 2022 11:32:58 GMT+0800 (中国标准时间),1666668778
优木杏树,14,10,'2.73,Tue Oct 25 2022 11:34:35 GMT+0800 (中国标准时间),1666668875
优木杏树,14,10,'1.51,Tue Oct 25 2022 11:34:47 GMT+0800 (中国标准时间),1666668887
小原鞠莉,14,10,'2.34,Tue Oct 25 2022 16:17:25 GMT+0800 (中国标准时间),1666685845
小原鞠莉,20,14,'3.59,Tue Oct 25 2022 16:18:30 GMT+0800 (中国标准时间),1666685910
平安名堇,14,10,'2.70,Tue Oct 25 2022 19:28:11 GMT+0800 (中国标准时间),1666697291
海绵宝宝,14,10,'2.43,Tue Oct 25 2022 19:49:59 GMT+0800 (中国标准时间),1666698599
海绵宝宝,14,10,'2.57,Tue Oct 25 2022 19:50:49 GMT+0800 (中国标准时间),1666698649
海绵宝宝,14,10,'2.08,Tue Oct 25 2022 19:51:58 GMT+0800 (中国标准时间),1666698718
海绵宝宝,14,10,'2.99,Tue Oct 25 2022 19:52:11 GMT+0800 (中国标准时间),1666698731
海绵宝宝,14,10,'1.92,Tue Oct 25 2022 19:52:27 GMT+0800 (中国标准时间),1666698747
海绵宝宝,14,10,'2.80,Tue Oct 25 2022 19:52:47 GMT+0800 (中国标准时间),1666698767
海绵宝宝,14,10,'2.45,Tue Oct 25 2022 19:53:20 GMT+0800 (中国标准时间),1666698800
海绵宝宝,14,10,'1.52,Tue Oct 25 2022 19:54:13 GMT+0800 (中国标准时间),1666698853
海绵宝宝,14,10,'1.38,Tue Oct 25 2022 19:54:39 GMT+0800 (中国标准时间),1666698879
海绵宝宝,14,10,'2.13,Tue Oct 25 2022 19:56:59 GMT+0800 (中国标准时间),1666699019
海绵宝宝,14,10,'2.07,Tue Oct 25 2022 19:57:40 GMT+0800 (中国标准时间),1666699060
海绵宝宝,14,10,'1.55,Tue Oct 25 2022 19:58:05 GMT+0800 (中国标准时间),1666699085
海绵宝宝,14,10,'2.34,Tue Oct 25 2022 19:58:40 GMT+0800 (中国标准时间),1666699120
海绵宝宝,14,10,'2.26,Tue Oct 25 2022 19:59:08 GMT+0800 (中国标准时间),1666699148
海绵宝宝,14,10,'1.62,Tue Oct 25 2022 19:59:32 GMT+0800 (中国标准时间),1666699172
海绵宝宝,14,10,'1.48,Tue Oct 25 2022 20:00:15 GMT+0800 (中国标准时间),1666699215
优木雪菜,14,10,'2.37,Tue Oct 25 2022 21:17:14 GMT+0800 (中国标准时间),1666703834
优木雪菜,14,10,'2.23,Tue Oct 25 2022 21:17:39 GMT+0800 (中国标准时间),1666703859
优木雪菜,14,10,'1.99,Tue Oct 25 2022 21:18:05 GMT+0800 (中国标准时间),1666703885
高坂穗乃果,14,10,'1.53,Tue Oct 25 2022 23:10:39 GMT+0800 (中国标准时间),1666710639
gay,14,10,'2.04,Tue Oct 25 2022 23:39:09 GMT+0800 (中国标准时间),1666712349
gay,14,10,'1.25,Tue Oct 25 2022 23:39:22 GMT+0800 (中国标准时间),1666712362
gay,20,20,'1.77,Tue Oct 25 2022 23:39:32 GMT+0800 (中国标准时间),1666712372
宫下爱,14,10,'1.81,Wed Oct 26 2022 00:06:58 GMT+0800 (中国标准时间),1666714018
唐可可,14,10,'2.94,Wed Oct 26 2022 08:13:08 GMT+0800 (中国标准时间),1666743188
优木雪菜,14,10,'0.87,Wed Oct 26 2022 11:08:45 GMT+0800 (中国标准时间),1666753725
樱小路希奈子,14,10,'2.36,Wed Oct 26 2022 11:27:18 GMT+0800 (中国标准时间),1666754838
三船栞子,20,14,'5.09,Wed Oct 26 2022 12:43:37 GMT+0800 (中国标准时间),1666759417
圣泽悠奈,20,14,'1.87,Wed Oct 26 2022 12:52:12 GMT+0800 (中国标准时间),1666759932
宫下爱,14,10,'1.58,Wed Oct 26 2022 13:20:19 GMT+0800 (GMT+08:00),1666761619
樱小路希奈子,14,10,'1.69,Wed Oct 26 2022 14:41:18 GMT+0800 (中国标准时间),1666766478
高坂穗乃果,14,10,'2.14,Wed Oct 26 2022 16:40:43 GMT+0800 (中国标准时间),1666773643
樱坂雫,14,10,'2.27,Wed Oct 26 2022 17:49:16 GMT+0800 (中国标准时间),1666777756
嗨绵宝宝,14,10,'1.48,Wed Oct 26 2022 17:50:06 GMT+0800 (中国标准时间),1666777806
嗨绵宝宝,14,10,'2.59,Wed Oct 26 2022 17:54:18 GMT+0800 (中国标准时间),1666778058
Kevowo_awa,14,10,'1.48,Wed Oct 26 2022 19:08:17 GMT+0800 (中国标准时间),1666782497
Kevowo_awa,14,10,'1.13,Wed Oct 26 2022 19:12:48 GMT+0800 (中国标准时间),1666782768
Kevowo_awa,14,10,'0.71,Wed Oct 26 2022 19:13:13 GMT+0800 (中国标准时间),1666782793
Kevowo_awa,14,10,'1.15,Wed Oct 26 2022 19:13:56 GMT+0800 (中国标准时间),1666782836
Kevowo_awa,14,10,'0.98,Wed Oct 26 2022 19:14:02 GMT+0800 (中国标准时间),1666782842
Kevowo_awa,14,10,'0.57,Wed Oct 26 2022 19:14:18 GMT+0800 (中国标准时间),1666782858
近江彼方,14,10,'1.99,Wed Oct 26 2022 20:41:32 GMT+0800 (香港标准时间),1666788092
统堂英玲奈,14,10,'1.68,Wed Oct 26 2022 20:59:09 GMT+0800 (CST),1666789149
统堂英玲奈j,14,10,'2.79,Wed Oct 26 2022 20:59:27 GMT+0800 (CST),1666789167
马牛逼,14,10,'2.04,Wed Oct 26 2022 23:04:47 GMT+0800 (中国标准时间),1666796687
马牛逼,14,10,'2.23,Wed Oct 26 2022 23:05:39 GMT+0800 (中国标准时间),1666796739
马牛逼,20,20,'5.86,Wed Oct 26 2022 23:10:11 GMT+0800 (中国标准时间),1666797011
星空凛,20,14,'2.32,Wed Oct 26 2022 23:13:03 GMT+0800 (中国标准时间),1666797183
若菜四季,14,10,'2.46,Thu Oct 27 2022 04:46:36 GMT+0800 (中国标准时间),1666817196
天王寺璃奈,20,14,'5.18,Thu Oct 27 2022 09:24:03 GMT+0800 (中国标准时间),1666833843
天王寺璃奈,20,14,'4.29,Thu Oct 27 2022 09:24:21 GMT+0800 (中国标准时间),1666833861
天王寺璃奈,20,14,'5.75,Thu Oct 27 2022 09:24:43 GMT+0800 (中国标准时间),1666833883
米女芽衣,14,10,'1.91,Thu Oct 27 2022 09:54:40 GMT+0800 (中国标准时间),1666835680
米女芽衣,14,10,'2.94,Thu Oct 27 2022 09:56:29 GMT+0800 (中国标准时间),1666835789
东条希,14,10,'2.50,Thu Oct 27 2022 10:02:22 GMT+0800 (中国标准时间),1666836142
东条希,14,10,'1.95,Thu Oct 27 2022 10:02:31 GMT+0800 (中国标准时间),1666836151
黑泽露比,14,10,'2.21,Thu Oct 27 2022 10:52:46 GMT+0800 (中国标准时间),1666839166
艾玛·维尔德,20,14,'1.25,Thu Oct 27 2022 13:44:12 GMT+0800 (香港标准时间),1666849452
星空凛,14,10,'2.37,Thu Oct 27 2022 13:44:15 GMT+0800 (CST),1666849455
鹿角理亚,20,14,'1.87,Thu Oct 27 2022 16:40:47 GMT+0800 (中国标准时间),1666860047
绮罗翼,14,10,'2.25,Thu Oct 27 2022 16:55:15 GMT+0800 (中国标准时间),1666860915
高咲侑,14,10,'2.45,Thu Oct 27 2022 17:06:51 GMT+0800 (中国标准时间),1666861611
西木野真姬,14,14,'1.73,Thu Oct 27 2022 17:53:03 GMT+0800 (中国标准时间),1666864383
西木野真姬,14,14,'1.08,Thu Oct 27 2022 17:53:17 GMT+0800 (中国标准时间),1666864397
宫下爱,14,10,'2.57,Fri Oct 28 2022 07:22:56 GMT+0800 (中国标准时间),1666912976
·,20,20,'2.27,Fri Oct 28 2022 09:10:55 GMT+0800 (中国标准时间),1666919455
Toujou Nozomi,14,10,'1.23,Fri Oct 28 2022 12:51:35 GMT+0700 (Indochina Time),1666936295
minh,20,14,'1.27,Fri Oct 28 2022 12:52:04 GMT+0700 (Indochina Time),1666936324
鱼子酱,14,10,'1.63,Fri Oct 28 2022 15:05:56 GMT+0800 (中国标准时间),1666940756
九霜,200,200,'359.40,Fri Oct 28 2022 17:31:47 GMT+0800 (中国标准时间),1666949507
九霜,14,10,'1.18,Fri Oct 28 2022 17:54:13 GMT+0800 (中国标准时间),1666950853
九霜,14,10,'1.44,Fri Oct 28 2022 17:56:08 GMT+0800 (中国标准时间),1666950968
九霜,14,10,'2.51,Fri Oct 28 2022 17:56:37 GMT+0800 (中国标准时间),1666950997
九霜,20,20,'5.50,Fri Oct 28 2022 17:57:05 GMT+0800 (中国标准时间),1666951025
九霜,20,20,'3.88,Fri Oct 28 2022 17:57:51 GMT+0800 (中国标准时间),1666951071
九霜,20,20,'2.40,Fri Oct 28 2022 17:58:51 GMT+0800 (中国标准时间),1666951131
九霜,20,20,'8.19,Fri Oct 28 2022 18:01:26 GMT+0800 (中国标准时间),1666951286
九霜,20,20,'5.59,Fri Oct 28 2022 18:03:27 GMT+0800 (中国标准时间),1666951407
九霜,20,20,'4.25,Fri Oct 28 2022 18:03:36 GMT+0800 (中国标准时间),1666951416
九霜,20,20,'2.32,Fri Oct 28 2022 18:03:55 GMT+0800 (中国标准时间),1666951435
九霜,20,20,'4.99,Fri Oct 28 2022 18:05:21 GMT+0800 (中国标准时间),1666951521
岚千砂都,14,10,'1.67,Sat Oct 29 2022 09:51:39 GMT+0800 (中国标准时间),1667008299
黄淦矿工,14,10,'2.50,Sat Oct 29 2022 11:24:03 GMT+0800 (中国标准时间),1667013843
黄淦矿工,14,10,'1.96,Sat Oct 29 2022 11:26:37 GMT+0800 (中国标准时间),1667013997
黄淦矿工,14,10,'1.16,Sat Oct 29 2022 11:26:50 GMT+0800 (中国标准时间),1667014010
黄淦矿工,20,14,'4.40,Sat Oct 29 2022 11:27:01 GMT+0800 (中国标准时间),1667014021
近江彼方,14,10,'2.91,Sat Oct 29 2022 11:38:43 GMT+0800 (CST),1667014723
上原步梦,14,10,'1.73,Sat Oct 29 2022 11:38:47 GMT+0800 (中国标准时间),1667014727
津岛善子,14,10,'1.85,Sat Oct 29 2022 11:54:32 GMT+0800 (中国标准时间),1667015672
渡边曜,14,10,'1.68,Sat Oct 29 2022 12:26:55 GMT+0800 (CST),1667017615
岚千砂都,14,10,'2.13,Sat Oct 29 2022 13:02:41 GMT+0800 (中国标准时间),1667019761
圣泽悠奈,14,10,'2.47,Sat Oct 29 2022 13:13:01 GMT+0800 (CST),1667020381
好耶,14,10,'2.92,Sat Oct 29 2022 13:19:20 GMT+0800 (中国标准时间),1667020760
好耶,14,10,'2.61,Sat Oct 29 2022 13:20:19 GMT+0800 (中国标准时间),1667020819
好耶,14,10,'1.68,Sat Oct 29 2022 13:20:52 GMT+0800 (中国标准时间),1667020852
好耶,14,10,'1.74,Sat Oct 29 2022 13:22:26 GMT+0800 (中国标准时间),1667020946
好耶,14,10,'2.80,Sat Oct 29 2022 13:22:42 GMT+0800 (中国标准时间),1667020962
好耶,14,10,'1.59,Sat Oct 29 2022 13:22:56 GMT+0800 (中国标准时间),1667020976
好耶,14,10,'1.90,Sat Oct 29 2022 13:23:32 GMT+0800 (中国标准时间),1667021012
好耶,14,10,'1.07,Sat Oct 29 2022 13:23:41 GMT+0800 (中国标准时间),1667021021
好耶,14,10,'1.71,Sat Oct 29 2022 13:23:48 GMT+0800 (中国标准时间),1667021028
好耶,14,10,'1.75,Sat Oct 29 2022 13:24:06 GMT+0800 (中国标准时间),1667021046
好耶,14,10,'2.15,Sat Oct 29 2022 13:24:18 GMT+0800 (中国标准时间),1667021058
好耶,14,10,'2.93,Sat Oct 29 2022 13:24:26 GMT+0800 (中国标准时间),1667021066
好耶,14,10,'2.05,Sat Oct 29 2022 13:24:38 GMT+0800 (中国标准时间),1667021078
好耶,14,10,'1.32,Sat Oct 29 2022 13:24:44 GMT+0800 (中国标准时间),1667021084
好耶,14,10,'1.76,Sat Oct 29 2022 13:25:08 GMT+0800 (中国标准时间),1667021108
好耶,14,10,'2.34,Sat Oct 29 2022 13:25:16 GMT+0800 (中国标准时间),1667021116
好耶,14,10,'1.65,Sat Oct 29 2022 13:25:22 GMT+0800 (中国标准时间),1667021122
好耶,14,10,'1.07,Sat Oct 29 2022 13:25:27 GMT+0800 (中国标准时间),1667021127
好耶,14,10,'2.38,Sat Oct 29 2022 13:25:40 GMT+0800 (中国标准时间),1667021140
好耶,14,10,'0.93,Sat Oct 29 2022 13:26:25 GMT+0800 (中国标准时间),1667021185
好耶,14,10,'1.05,Sat Oct 29 2022 13:26:48 GMT+0800 (中国标准时间),1667021208
好耶,14,10,'0.94,Sat Oct 29 2022 13:26:53 GMT+0800 (中国标准时间),1667021213
好耶,14,10,'1.50,Sat Oct 29 2022 13:27:13 GMT+0800 (中国标准时间),1667021233
好耶,14,10,'0.97,Sat Oct 29 2022 13:28:15 GMT+0800 (中国标准时间),1667021295
好耶,14,10,'0.96,Sat Oct 29 2022 13:28:41 GMT+0800 (中国标准时间),1667021321
好耶,14,10,'0.96,Sat Oct 29 2022 13:28:47 GMT+0800 (中国标准时间),1667021327
好耶,14,10,'2.10,Sat Oct 29 2022 13:29:13 GMT+0800 (中国标准时间),1667021353
好耶,14,10,'1.38,Sat Oct 29 2022 13:29:19 GMT+0800 (中国标准时间),1667021359
好耶,14,10,'2.25,Sat Oct 29 2022 13:30:20 GMT+0800 (中国标准时间),1667021420
好耶,14,10,'1.21,Sat Oct 29 2022 13:32:13 GMT+0800 (中国标准时间),1667021533
