玩家名,行,列,用时/秒,时间,UNIX时间戳
tyqnb,10,10,'1.32,Thu Feb 10 2022 21:43:09 GMT+0800 (中国标准时间),1644500589
tyqnb,14,10,'0.90,Thu Feb 10 2022 21:43:15 GMT+0800 (中国标准时间),1644500595
tyqnb,20,14,'1.74,Thu Feb 10 2022 21:43:23 GMT+0800 (中国标准时间),1644500603
tyqnb,14,14,'1.07,Thu Feb 10 2022 21:43:38 GMT+0800 (中国标准时间),1644500618
圣泽悠奈,14,10,'2.56,Thu Feb 10 2022 21:54:05 GMT+0800 (中国标准时间),1644501245
叶月恋,20,14,'5.37,Thu Feb 10 2022 21:58:00 GMT+0800 (中国标准时间),1644501480
veyuer,14,10,'2.74,Thu Feb 10 2022 22:02:41 GMT+0800 (中国标准时间),1644501761
veyuer,14,10,'2.39,Thu Feb 10 2022 22:05:24 GMT+0800 (中国标准时间),1644501924
veyuer,14,10,'2.03,Thu Feb 10 2022 22:05:46 GMT+0800 (中国标准时间),1644501946
岚千砂都,14,10,'2.28,Thu Feb 10 2022 22:14:25 GMT+0800 (CST),1644502465
岚千砂都,14,10,'2.44,Thu Feb 10 2022 22:14:43 GMT+0800 (CST),1644502483
岚千砂都,14,10,'1.39,Thu Feb 10 2022 22:14:50 GMT+0800 (CST),1644502490
岚千砂都把,20,14,'1.38,Thu Feb 10 2022 22:15:43 GMT+0800 (CST),1644502543
岚千砂都把,20,14,'1.41,Thu Feb 10 2022 22:16:04 GMT+0800 (CST),1644502564
德洛里安,14,10,'1.02,Thu Feb 10 2022 22:22:32 GMT+0800 (中国标准时间),1644502952
apexee,100,100,'27.34,Thu Feb 10 2022 22:43:13 GMT+0800 (中国标准时间),1644504193
岚千砂都,14,10,'2.67,Thu Feb 10 2022 22:53:32 GMT+0800 (中国标准时间),1644504812
唐可可,14,10,'1.29,Thu Feb 10 2022 23:11:25 GMT+0800 (中国标准时间),1644505885
唐可可,20,14,'4.34,Thu Feb 10 2022 23:11:36 GMT+0800 (中国标准时间),1644505896
phzc,14,10,'1.65,Thu Feb 10 2022 23:15:30 GMT+0800 (中国标准时间),1644506130
phzc,14,10,'1.25,Thu Feb 10 2022 23:17:07 GMT+0800 (中国标准时间),1644506227
zzy,14,10,'1.14,Thu Feb 10 2022 23:19:05 GMT+0800 (中国标准时间),1644506345
zzy,14,10,'1.50,Thu Feb 10 2022 23:19:47 GMT+0800 (中国标准时间),1644506387
叶月恋,14,10,'2.46,Thu Feb 10 2022 23:19:57 GMT+0800 (中国标准时间),1644506397
zzy,14,10,'2.27,Thu Feb 10 2022 23:19:58 GMT+0800 (中国标准时间),1644506398
日落在逃跑,14,10,'2.91,Thu Feb 10 2022 23:27:36 GMT+0800 (CST),1644506856
日落在逃跑,14,10,'2.61,Thu Feb 10 2022 23:30:03 GMT+0800 (CST),1644507003
维吉尔,14,10,'2.37,Thu Feb 10 2022 23:32:44 GMT+0800 (中国标准时间),1644507164
维吉尔,14,10,'1.94,Thu Feb 10 2022 23:35:18 GMT+0800 (中国标准时间),1644507318
维吉尔,14,10,'1.27,Thu Feb 10 2022 23:38:36 GMT+0800 (中国标准时间),1644507516
维吉尔,14,10,'1.20,Thu Feb 10 2022 23:38:50 GMT+0800 (中国标准时间),1644507530
维吉尔,14,10,'1.66,Thu Feb 10 2022 23:41:34 GMT+0800 (中国标准时间),1644507694
岚千砂都,14,10,'2.78,Thu Feb 10 2022 23:48:01 GMT+0800 (中国标准时间),1644508081
岚千砂都,14,10,'2.27,Thu Feb 10 2022 23:48:47 GMT+0800 (中国标准时间),1644508127
岚千砂都,20,14,'1.29,Thu Feb 10 2022 23:49:18 GMT+0800 (中国标准时间),1644508158
柊摩央,14,10,'0.01,Thu Feb 10 2022 23:54:13 GMT+0800 (中国标准时间),1644508453
涩谷香音,14,10,'2.82,Thu Feb 10 2022 23:58:05 GMT+0800 (中国标准时间),1644508685
涩谷香音,14,10,'2.72,Thu Feb 10 2022 23:58:29 GMT+0800 (中国标准时间),1644508709
涩谷香音,14,10,'1.62,Thu Feb 10 2022 23:58:38 GMT+0800 (中国标准时间),1644508718
唐可可,14,10,'2.96,Fri Feb 11 2022 00:02:55 GMT+0800 (中国标准时间),1644508975
唐可可,14,10,'2.42,Fri Feb 11 2022 00:03:13 GMT+0800 (中国标准时间),1644508993
柊摩央,14,10,'1.61,Fri Feb 11 2022 00:17:03 GMT+0800 (中国标准时间),1644509823
岚千砂都,14,10,'2.30,Fri Feb 11 2022 00:22:30 GMT+0800 (中国标准时间),1644510150
周洁纶,14,10,'2.42,Fri Feb 11 2022 00:23:25 GMT+0800 (中国标准时间),1644510205
十三,14,10,'1.29,Fri Feb 11 2022 00:36:34 GMT+0800 (中国标准时间),1644510994
十三,14,10,'2.64,Fri Feb 11 2022 00:38:36 GMT+0800 (中国标准时间),1644511116
十三,14,10,'2.10,Fri Feb 11 2022 00:38:43 GMT+0800 (中国标准时间),1644511123
十三,14,14,'2.17,Fri Feb 11 2022 00:39:02 GMT+0800 (中国标准时间),1644511142
十三,14,14,'2.58,Fri Feb 11 2022 00:39:09 GMT+0800 (中国标准时间),1644511149
十三,20,14,'5.05,Fri Feb 11 2022 00:39:19 GMT+0800 (中国标准时间),1644511159
十三,20,14,'3.97,Fri Feb 11 2022 00:39:28 GMT+0800 (中国标准时间),1644511168
沉梦,14,10,'2.40,Fri Feb 11 2022 00:40:50 GMT+0800 (中国标准时间),1644511250
沉梦,14,10,'1.65,Fri Feb 11 2022 00:48:07 GMT+0800 (中国标准时间),1644511687
null,14,14,'2.64,Fri Feb 11 2022 00:50:19 GMT+0800 (中国标准时间),1644511819
唐可可,20,14,'1.92,Fri Feb 11 2022 00:52:19 GMT+0800 (CST),1644511939
朱子涵,14,14,'2.35,Fri Feb 11 2022 01:22:09 GMT+0800 (中国标准时间),1644513729
叶月恋,14,10,'2.65,Fri Feb 11 2022 01:24:48 GMT+0800 (中国标准时间),1644513888
涩谷香音,14,10,'1.28,Fri Feb 11 2022 01:25:18 GMT+0800 (中国标准时间),1644513918
A19R13B,14,10,'2.01,Fri Feb 11 2022 01:27:36 GMT+0800 (中国标准时间),1644514056
A19R13B,14,10,'2.04,Fri Feb 11 2022 01:28:28 GMT+0800 (中国标准时间),1644514108
A19R13B,20,14,'1.40,Fri Feb 11 2022 01:28:48 GMT+0800 (中国标准时间),1644514128
A19R13B,20,14,'3.11,Fri Feb 11 2022 01:29:01 GMT+0800 (中国标准时间),1644514141
岚千砂都,14,10,'2.15,Fri Feb 11 2022 01:31:55 GMT+0800 (中国标准时间),1644514315
A19R13B,14,10,'2.65,Fri Feb 11 2022 01:32:58 GMT+0800 (中国标准时间),1644514378
A19R13B,14,10,'1.98,Fri Feb 11 2022 01:33:30 GMT+0800 (中国标准时间),1644514410
A19R13B,14,10,'2.95,Fri Feb 11 2022 01:34:26 GMT+0800 (中国标准时间),1644514466
A19R13B,14,10,'2.75,Fri Feb 11 2022 01:34:52 GMT+0800 (中国标准时间),1644514492
A19R13B,14,10,'1.62,Fri Feb 11 2022 01:35:04 GMT+0800 (中国标准时间),1644514504
