玩家名,行,列,用时/秒,时间,UNIX时间戳
月茗蚀,14,10,'1.73,Thu Aug 24 2023 21:23:42 GMT+0800 (中国标准时间),1692883422
A3ter1a,14,10,'2.89,Thu Aug 24 2023 21:26:42 GMT+0800 (中国标准时间),1692883602
夕雾缀理,20,14,'1.99,Thu Aug 24 2023 22:20:40 GMT+0800 (中国标准时间),1692886840
村野沙耶香,14,10,'2.07,Thu Aug 24 2023 22:36:08 GMT+0800 (中国标准时间),1692887768
昂子,14,10,'2.39,Thu Aug 24 2023 23:24:24 GMT+0800 (中國標準時間),1692890664
藤岛慈,14,10,'2.82,Fri Aug 25 2023 01:37:19 GMT+0800 (中国标准时间),1692898639
Wylanhello,14,10,'2.84,Fri Aug 25 2023 06:50:25 GMT+0800 (CST),1692917425
Wylanhello,20,14,'2.03,Fri Aug 25 2023 06:57:38 GMT+0800 (CST),1692917858
Wylanhello,20,14,'4.98,Fri Aug 25 2023 06:57:58 GMT+0800 (CST),1692917878
syys233,14,10,'2.88,Fri Aug 25 2023 09:09:13 GMT+0800 (中国标准时间),1692925753
村野沙耶香,14,10,'2.70,Fri Aug 25 2023 11:17:15 GMT+0800 (中国标准时间),1692933435
村野沙耶香,14,10,'0.87,Fri Aug 25 2023 11:33:23 GMT+0800 (中国标准时间),1692934403
日野下花帆,14,10,'2.31,Fri Aug 25 2023 12:23:53 GMT+0800 (中国标准时间),1692937433
村野沙耶香,20,14,'1.54,Fri Aug 25 2023 13:39:14 GMT+0800 (中国标准时间),1692941954
ha'ha'ha'ha'ha,14,10,'1.25,Fri Aug 25 2023 15:00:02 GMT+0800 (中国标准时间),1692946802
村野沙耶香,20,14,'3.63,Fri Aug 25 2023 16:35:24 GMT+0800 (CST),1692952524
乙宗梢,14,10,'2.90,Fri Aug 25 2023 16:38:47 GMT+0800 (中国标准时间),1692952727
大泽瑠璃乃,14,10,'2.51,Fri Aug 25 2023 17:22:20 GMT+0800 (中国标准时间),1692955340
