玩家名,行,列,用时/秒,时间,UNIX时间戳
岚千砂都,14,14,'1.48,Tue Dec 21 2021 23:55:34 GMT+0800 (中国标准时间),1640102134
岚千砂都,14,14,'1.24,Tue Dec 21 2021 23:55:41 GMT+0800 (中国标准时间),1640102141
圣泽悠奈,14,10,'1.30,Wed Dec 22 2021 00:13:59 GMT+0800 (中国标准时间),1640103239
陌路,14,10,'1.34,Wed Dec 22 2021 00:14:55 GMT+0800 (中国标准时间),1640103295
平安名堇,14,10,'2.72,Wed Dec 22 2021 00:43:11 GMT+0800 (中国标准时间),1640104991
平安名堇,14,10,'2.38,Wed Dec 22 2021 00:44:09 GMT+0800 (中国标准时间),1640105049
薛之谦,14,10,'1.77,Wed Dec 22 2021 01:13:05 GMT+0800 (中国标准时间),1640106785
liyuu-,20,14,'3.75,Wed Dec 22 2021 01:14:30 GMT+0800 (中国标准时间),1640106870
liyuu-,20,14,'4.81,Wed Dec 22 2021 01:15:00 GMT+0800 (中国标准时间),1640106900
liyuu-,20,14,'2.85,Wed Dec 22 2021 01:15:21 GMT+0800 (中国标准时间),1640106921
唐可可,14,10,'1.11,Wed Dec 22 2021 01:15:45 GMT+0800 (中国标准时间),1640106945
涩谷香音,14,10,'2.68,Wed Dec 22 2021 01:15:57 GMT+0800 (中国标准时间),1640106957
薛之谦,14,10,'1.35,Wed Dec 22 2021 01:16:30 GMT+0800 (中国标准时间),1640106990
唐可可,14,10,'1.46,Wed Dec 22 2021 01:16:31 GMT+0800 (中国标准时间),1640106991
liyuu-,20,14,'3.51,Wed Dec 22 2021 01:16:43 GMT+0800 (中国标准时间),1640107003
唐可可,14,10,'2.52,Wed Dec 22 2021 01:17:32 GMT+0800 (中国标准时间),1640107052
平安名堇,14,10,'0.98,Wed Dec 22 2021 01:18:09 GMT+0800 (中国标准时间),1640107089
叶月恋,14,10,'2.82,Wed Dec 22 2021 01:22:32 GMT+0800 (CST),1640107352
涩谷香音,14,10,'2.78,Wed Dec 22 2021 01:22:56 GMT+0800 (中国标准时间),1640107376
恋岚依依,20,14,'2.83,Wed Dec 22 2021 03:39:19 GMT+0800 (中国标准时间),1640115559
岚千砂都,14,10,'2.68,Wed Dec 22 2021 07:15:12 GMT+0800 (中国标准时间),1640128512
草东没有派对,14,10,'2.25,Wed Dec 22 2021 07:37:19 GMT+0800 (中国标准时间),1640129839
南,14,10,'1.35,Wed Dec 22 2021 07:37:53 GMT+0800 (中国标准时间),1640129873
南,14,10,'1.59,Wed Dec 22 2021 07:38:10 GMT+0800 (中国标准时间),1640129890
叶月恋,20,20,'6.43,Wed Dec 22 2021 09:16:21 GMT+0800 (中国标准时间),1640135781
Morningstar,14,10,'0.99,Tue Dec 21 2021 20:55:20 GMT-0500 (北美东部标准时间),1640138120
Morningstar,14,10,'1.57,Tue Dec 21 2021 20:55:37 GMT-0500 (北美东部标准时间),1640138137
Morningstar,14,10,'1.54,Tue Dec 21 2021 20:55:45 GMT-0500 (北美东部标准时间),1640138145
Morningstar,14,10,'1.99,Tue Dec 21 2021 20:55:52 GMT-0500 (北美东部标准时间),1640138152
Morningstar,14,10,'1.55,Tue Dec 21 2021 20:55:59 GMT-0500 (北美东部标准时间),1640138159
Morningstar,14,10,'1.39,Tue Dec 21 2021 20:56:38 GMT-0500 (北美东部标准时间),1640138198
Morningstar,100,100,'23.90,Tue Dec 21 2021 20:58:43 GMT-0500 (北美东部标准时间),1640138323
Morningstar,100,100,'10.90,Tue Dec 21 2021 20:59:01 GMT-0500 (北美东部标准时间),1640138341
Morningstar,100,100,'3.95,Tue Dec 21 2021 20:59:12 GMT-0500 (北美东部标准时间),1640138352
涩谷香音,14,10,'2.11,Wed Dec 22 2021 10:07:26 GMT+0800 (中国标准时间),1640138846
cas,14,10,'2.52,Wed Dec 22 2021 11:15:02 GMT+0800 (CST),1640142902
叶月恋,14,10,'2.52,Wed Dec 22 2021 12:26:27 GMT+0800 (中国标准时间),1640147187
超级大美女,14,10,'1.77,Wed Dec 22 2021 12:30:05 GMT+0800 (中国标准时间),1640147405
超级大美女,14,10,'1.16,Wed Dec 22 2021 12:31:05 GMT+0800 (中国标准时间),1640147465
超级大美女,14,10,'2.41,Wed Dec 22 2021 12:31:14 GMT+0800 (中国标准时间),1640147474
超级大美女,14,10,'1.69,Wed Dec 22 2021 12:31:21 GMT+0800 (中国标准时间),1640147481
超级大美女,14,10,'2.63,Wed Dec 22 2021 12:32:04 GMT+0800 (中国标准时间),1640147524
柊摩央,20,20,'4.40,Wed Dec 22 2021 12:45:59 GMT+0800 (中国标准时间),1640148359
柊摩央,20,20,'2.55,Wed Dec 22 2021 12:46:11 GMT+0800 (中国标准时间),1640148371
叶月恋,14,10,'2.29,Wed Dec 22 2021 13:34:26 GMT+0800 (中国标准时间),1640151266
平安名堇,20,14,'0.85,Wed Dec 22 2021 14:25:40 GMT+0800 (中国标准时间),1640154340
叶月恋,14,10,'1.85,Wed Dec 22 2021 14:26:42 GMT+0800 (中国标准时间),1640154402
平安名堇,20,20,'0.90,Wed Dec 22 2021 14:27:01 GMT+0800 (中国标准时间),1640154421
唐悠悠,14,10,'1.25,Wed Dec 22 2021 14:50:31 GMT+0800 (中国标准时间),1640155831
柊摩央,14,10,'1.82,Wed Dec 22 2021 14:50:38 GMT+0800 (中国标准时间),1640155838
柊摩央,14,10,'1.23,Wed Dec 22 2021 14:52:16 GMT+0800 (中国标准时间),1640155936
Hectopascal,14,10,'2.33,Wed Dec 22 2021 15:16:44 GMT+0800 (中国标准时间),1640157404
银鸿,20,14,'5.60,Wed Dec 22 2021 15:17:39 GMT+0800 (CST),1640157459
夜幕,14,10,'1.31,Wed Dec 22 2021 15:36:19 GMT+0800 (中国标准时间),1640158579
平安名堇,14,14,'2.43,Wed Dec 22 2021 15:42:53 GMT+0800 (中国标准时间),1640158973
Hiiro,20,14,'2.71,Wed Dec 22 2021 15:48:13 GMT+0800 (CST),1640159293
佳煴酱,20,14,'3.56,Wed Dec 22 2021 15:59:18 GMT+0800 (CST),1640159958
佳煴酱,20,14,'3.38,Wed Dec 22 2021 15:59:41 GMT+0800 (CST),1640159981
佳煴酱,20,14,'4.35,Wed Dec 22 2021 16:00:00 GMT+0800 (CST),1640160000
pci106,14,10,'1.82,Wed Dec 22 2021 16:13:22 GMT+0800 (中国标准时间),1640160802
pci106,14,10,'1.27,Wed Dec 22 2021 16:14:09 GMT+0800 (中国标准时间),1640160849
pci106,14,10,'0.98,Wed Dec 22 2021 16:14:52 GMT+0800 (中国标准时间),1640160892
Hiiro,20,14,'1.48,Wed Dec 22 2021 16:31:44 GMT+0800 (CST),1640161904
圣泽悠奈,14,14,'3.57,Wed Dec 22 2021 17:21:54 GMT+0800 (中国标准时间),1640164914
firaila,20,14,'3.77,Wed Dec 22 2021 17:22:06 GMT+0800 (中国标准时间),1640164926
firaila,20,14,'2.94,Wed Dec 22 2021 17:22:34 GMT+0800 (中国标准时间),1640164954
firaila,20,14,'4.00,Wed Dec 22 2021 17:22:44 GMT+0800 (中国标准时间),1640164964
firaila,20,14,'2.56,Wed Dec 22 2021 17:22:51 GMT+0800 (中国标准时间),1640164971
firaila,20,14,'0.98,Wed Dec 22 2021 17:22:56 GMT+0800 (中国标准时间),1640164976
firaila,20,14,'2.83,Wed Dec 22 2021 17:23:05 GMT+0800 (中国标准时间),1640164985
firaila,20,14,'0.89,Wed Dec 22 2021 17:23:09 GMT+0800 (中国标准时间),1640164989
firaila,20,14,'1.88,Wed Dec 22 2021 17:23:18 GMT+0800 (中国标准时间),1640164998
firaila,14,10,'2.21,Wed Dec 22 2021 17:26:32 GMT+0800 (中国标准时间),1640165192
辣炒米粉,300,40,'26.79,Wed Dec 22 2021 18:08:34 GMT+0800 (香港标准时间),1640167714
