玩家名,行,列,用时/秒,时间
叶月恋,100,100,'26.89,Tue Dec 07 2021 16:51:40 GMT+0800 (中国标准时间)
Morningstar,100,100,'20.61,Tue Dec 07 2021 16:52:17 GMT+0800 (中国标准时间)
Morningstar,100,100,'14.02,Tue Dec 07 2021 16:53:07 GMT+0800 (中国标准时间)
Tojo Nozomi,14,14,'3.07,Tue Dec 07 2021 17:55:47 GMT+0800 (GMT+08:00)
平安名堇,14,10,'1.68,Tue Dec 07 2021 17:58:32 GMT+0800 (GMT+08:00)
liyuu,14,10,'2.51,Tue Dec 07 2021 21:27:48 GMT+0800 (中国标准时间)
liyuu,20,14,'5.91,Tue Dec 07 2021 21:30:21 GMT+0800 (中国标准时间)
liyuu,20,14,'2.20,Tue Dec 07 2021 21:30:44 GMT+0800 (中国标准时间)
Morningstar,14,10,'2.97,Tue Dec 07 2021 23:52:15 GMT+0800 (CST)
唐澤貴洋,14,10,'2.94,Tue Dec 07 2021 23:52:25 GMT+0800 (中国标准时间)
lisnote,14,10,'0.13,Wed Dec 08 2021 00:08:14 GMT+0800 (中国标准时间)
王强,20,14,'3.33,Wed Dec 08 2021 00:33:27 GMT+0800 (CST)
Morningstar,14,10,'1.92,Wed Dec 08 2021 01:22:59 GMT+0800 (CST)
Morningstar,14,10,'2.05,Wed Dec 08 2021 01:23:48 GMT+0800 (CST)
Morningstar,14,10,'2.25,Wed Dec 08 2021 01:25:20 GMT+0800 (CST)
Morningstar,14,10,'1.73,Wed Dec 08 2021 01:25:43 GMT+0800 (CST)
Morningstar,14,10,'2.83,Wed Dec 08 2021 01:26:07 GMT+0800 (CST)
Morningstar,14,10,'1.69,Wed Dec 08 2021 01:26:52 GMT+0800 (CST)
Morningstar,14,10,'2.41,Wed Dec 08 2021 01:27:39 GMT+0800 (CST)
Morningstar,14,10,'1.31,Wed Dec 08 2021 01:28:02 GMT+0800 (CST)
Morningstar,14,10,'1.40,Wed Dec 08 2021 01:28:27 GMT+0800 (CST)
唐可可,14,10,'1.71,Wed Dec 08 2021 01:29:29 GMT+0800 (CST)
。,14,10,'1.83,Tue Dec 07 2021 12:29:41 GMT-0500 (北美东部标准时间)
。,14,10,'1.76,Tue Dec 07 2021 12:30:25 GMT-0500 (北美东部标准时间)
Morningstar,500,500,'75.03,Wed Dec 08 2021 01:34:18 GMT+0800 (中国标准时间)
Morningstar,500,500,'117.61,Wed Dec 08 2021 01:36:46 GMT+0800 (中国标准时间)
Morningstar,100,100,'19.12,Wed Dec 08 2021 01:40:17 GMT+0800 (中国标准时间)
Morningstar,100,100,'9.01,Wed Dec 08 2021 01:40:45 GMT+0800 (中国标准时间)
Morningstar,100,100,'4.72,Wed Dec 08 2021 01:41:13 GMT+0800 (中国标准时间)
Morningstar,100,100,'9.01,Wed Dec 08 2021 01:42:01 GMT+0800 (中国标准时间)
Morningstar,100,100,'5.05,Wed Dec 08 2021 01:46:00 GMT+0800 (中国标准时间)
Morningstar,100,100,'4.98,Wed Dec 08 2021 01:46:16 GMT+0800 (中国标准时间)
Morningstar,100,100,'14.10,Wed Dec 08 2021 01:47:26 GMT+0800 (中国标准时间)
Morningstar,100,100,'7.91,Wed Dec 08 2021 01:47:47 GMT+0800 (中国标准时间)
Morningstar,100,100,'8.05,Wed Dec 08 2021 01:48:22 GMT+0800 (中国标准时间)
Morningstar,100,100,'11.17,Wed Dec 08 2021 01:48:43 GMT+0800 (中国标准时间)
Morningstar,100,100,'13.66,Wed Dec 08 2021 01:49:07 GMT+0800 (中国标准时间)
Morningstar,100,100,'5.15,Wed Dec 08 2021 01:51:39 GMT+0800 (中国标准时间)
Morningstar,100,100,'26.97,Wed Dec 08 2021 01:54:02 GMT+0800 (中国标准时间)
plazum,30,30,'1.93,Wed Dec 08 2021 05:38:41 GMT+0800 (中国标准时间)
maplesaid,14,10,'1.46,Wed Dec 08 2021 08:22:16 GMT+0800 (中国标准时间)
涩谷香音,14,10,'1.57,Wed Dec 08 2021 08:31:51 GMT+0800 (中国标准时间)
叶月恋,14,10,'2.03,Wed Dec 08 2021 09:05:58 GMT+0800 (中国标准时间)
佳煴酱,20,14,'4.37,Wed Dec 08 2021 09:14:39 GMT+0800 (CST)
tlzup,14,10,'1.60,Wed Dec 08 2021 09:35:08 GMT+0800 (中国标准时间)
tlzup,20,20,'6.35,Wed Dec 08 2021 09:38:13 GMT+0800 (中国标准时间)
tlzup,14,10,'2.78,Wed Dec 08 2021 09:38:55 GMT+0800 (中国标准时间)
tlzup,14,10,'1.84,Wed Dec 08 2021 09:39:09 GMT+0800 (中国标准时间)
tlzup,14,10,'1.63,Wed Dec 08 2021 09:39:18 GMT+0800 (中国标准时间)
tlzup,14,10,'2.07,Wed Dec 08 2021 09:39:28 GMT+0800 (中国标准时间)
tlzup,20,20,'3.71,Wed Dec 08 2021 09:39:40 GMT+0800 (中国标准时间)
八达岭~,100,25,'5.24,Wed Dec 08 2021 09:44:51 GMT+0800 (中国标准时间)
平安名堇,14,10,'1.90,Wed Dec 08 2021 10:41:31 GMT+0800 (中国标准时间)
涩谷香音,20,14,'4.44,Wed Dec 08 2021 10:41:58 GMT+0800 (中国标准时间)
叶月恋,14,10,'1.51,Wed Dec 08 2021 10:56:37 GMT+0800 (CST)
涩谷香音,14,10,'2.36,Wed Dec 08 2021 10:56:53 GMT+0800 (CST)
叶月恋,14,10,'1.10,Wed Dec 08 2021 10:57:05 GMT+0800 (CST)
平安名堇,14,10,'2.58,Wed Dec 08 2021 10:57:13 GMT+0800 (CST)
tlzup,14,10,'2.69,Wed Dec 08 2021 11:30:13 GMT+0800 (中国标准时间)
tlzup,14,10,'1.28,Wed Dec 08 2021 11:30:41 GMT+0800 (中国标准时间)
tlzup,14,10,'1.82,Wed Dec 08 2021 11:31:34 GMT+0800 (中国标准时间)
tlzup,20,14,'5.63,Wed Dec 08 2021 11:31:49 GMT+0800 (中国标准时间)
tlzup,14,10,'1.30,Wed Dec 08 2021 11:32:04 GMT+0800 (中国标准时间)
tlzup,20,14,'4.15,Wed Dec 08 2021 11:32:16 GMT+0800 (中国标准时间)
唐可可为什么是神,20,14,'3.46,Tue Dec 07 2021 22:43:55 GMT-0500 (北美东部标准时间)
tlzup,14,10,'1.59,Wed Dec 08 2021 11:52:24 GMT+0800 (中国标准时间)
tlzup,20,14,'3.84,Wed Dec 08 2021 11:52:48 GMT+0800 (中国标准时间)
tlzup,14,10,'1.90,Wed Dec 08 2021 11:52:59 GMT+0800 (中国标准时间)
tlzup,14,14,'3.37,Wed Dec 08 2021 11:53:27 GMT+0800 (中国标准时间)
tlzup,14,10,'1.95,Wed Dec 08 2021 11:53:43 GMT+0800 (中国标准时间)
tlzup,14,10,'2.28,Wed Dec 08 2021 11:54:01 GMT+0800 (中国标准时间)
tlzup,14,10,'1.87,Wed Dec 08 2021 11:54:40 GMT+0800 (中国标准时间)
tlzup,20,14,'4.39,Wed Dec 08 2021 11:54:51 GMT+0800 (中国标准时间)
tlzup,14,10,'1.09,Wed Dec 08 2021 11:54:59 GMT+0800 (中国标准时间)
tlzup,14,10,'1.18,Wed Dec 08 2021 11:55:08 GMT+0800 (中国标准时间)
tlzup,20,14,'3.91,Wed Dec 08 2021 11:55:27 GMT+0800 (中国标准时间)
tlzup,20,20,'4.89,Wed Dec 08 2021 11:55:45 GMT+0800 (中国标准时间)
tlzup,14,10,'1.04,Wed Dec 08 2021 11:56:04 GMT+0800 (中国标准时间)
tlzup,14,10,'1.00,Wed Dec 08 2021 11:57:16 GMT+0800 (中国标准时间)
岚千砂都,14,10,'2.59,Wed Dec 08 2021 12:13:26 GMT+0800 (中国标准时间)
叶月恋,14,10,'1.78,Wed Dec 08 2021 12:13:41 GMT+0800 (中国标准时间)
岚千砂都,14,10,'1.56,Wed Dec 08 2021 12:13:47 GMT+0800 (中国标准时间)
唐可可,14,10,'2.03,Wed Dec 08 2021 12:13:52 GMT+0800 (中国标准时间)
平安名堇,20,14,'5.02,Wed Dec 08 2021 12:14:03 GMT+0800 (中国标准时间)
plazum,30,30,'1.49,Wed Dec 08 2021 12:16:41 GMT+0800 (CST)
涩谷香音,14,10,'1.67,Wed Dec 08 2021 12:17:21 GMT+0800 (中国标准时间)
平安名堇,14,10,'2.63,Wed Dec 08 2021 12:20:26 GMT+0800 (中国标准时间)
叶月恋,14,10,'1.50,Wed Dec 08 2021 12:21:57 GMT+0800 (中国标准时间)
唐可可,14,10,'1.00,Wed Dec 08 2021 12:22:16 GMT+0800 (中国标准时间)
涩谷香音,14,14,'1.33,Wed Dec 08 2021 12:22:39 GMT+0800 (中国标准时间)
叶月恋,14,14,'2.62,Wed Dec 08 2021 12:22:45 GMT+0800 (中国标准时间)
平安名堇,14,14,'2.92,Wed Dec 08 2021 12:22:59 GMT+0800 (中国标准时间)
唐可可,14,14,'2.24,Wed Dec 08 2021 12:23:12 GMT+0800 (中国标准时间)
平安名堇,14,10,'1.66,Wed Dec 08 2021 12:35:26 GMT+0800 (中国标准时间)
岚千砂都,200,200,'69.31,Wed Dec 08 2021 12:37:47 GMT+0800 (中国标准时间)
唐可可,14,10,'1.92,Wed Dec 08 2021 13:11:55 GMT+0800 (中国标准时间)
平安名堇,14,10,'1.82,Wed Dec 08 2021 13:15:26 GMT+0800 (中国标准时间)
平安名堇,20,20,'1.38,Wed Dec 08 2021 13:15:55 GMT+0800 (中国标准时间)
