玩家名,行,列,用时/秒,时间,UNIX时间戳
唐可可我最闪耀,14,14,'1.12,Wed Apr 20 2022 08:40:54 GMT+0800 (中国标准时间),1650415254
唐可可我最闪耀,14,14,'1.25,Wed Apr 20 2022 08:40:58 GMT+0800 (中国标准时间),1650415258
唐可可我最闪耀,20,14,'1.58,Wed Apr 20 2022 08:41:30 GMT+0800 (中国标准时间),1650415290
最后の白羊,20,14,'2.85,Wed Apr 20 2022 09:25:43 GMT+0800 (中国标准时间),1650417943
宇文华赤,20,14,'4.72,Wed Apr 20 2022 09:53:32 GMT+0800 (中国标准时间),1650419612
宇文华赤,20,14,'1.34,Wed Apr 20 2022 09:53:43 GMT+0800 (中国标准时间),1650419623
宇文华赤,20,14,'1.79,Wed Apr 20 2022 09:54:37 GMT+0800 (中国标准时间),1650419677
宇文华赤,20,14,'5.41,Wed Apr 20 2022 09:55:17 GMT+0800 (中国标准时间),1650419717
宇文华赤,20,14,'1.93,Wed Apr 20 2022 09:55:27 GMT+0800 (中国标准时间),1650419727
宇文华赤,20,14,'5.34,Wed Apr 20 2022 09:55:55 GMT+0800 (中国标准时间),1650419755
宇文华赤,14,10,'1.67,Wed Apr 20 2022 09:56:13 GMT+0800 (中国标准时间),1650419773
宇文华赤,14,10,'1.78,Wed Apr 20 2022 09:56:25 GMT+0800 (中国标准时间),1650419785
宇文华赤,20,14,'3.39,Wed Apr 20 2022 09:56:52 GMT+0800 (中国标准时间),1650419812
宇文华赤,20,14,'2.37,Wed Apr 20 2022 09:57:10 GMT+0800 (中国标准时间),1650419830
gio,14,10,'2.28,Wed Apr 20 2022 10:00:23 GMT+0800 (中国标准时间),1650420023
习近平,14,10,'2.49,Wed Apr 20 2022 10:00:35 GMT+0800 (中国标准时间),1650420035
岚千砂都,14,10,'2.07,Wed Apr 20 2022 10:00:48 GMT+0800 (CST),1650420048
岚千砂都,14,10,'1.07,Wed Apr 20 2022 10:01:16 GMT+0800 (CST),1650420076
阿梓我真的好喜欢你啊,14,10,'2.10,Wed Apr 20 2022 10:05:56 GMT+0800 (CST),1650420356
gio,14,10,'2.60,Wed Apr 20 2022 10:06:01 GMT+0800 (中国标准时间),1650420361
gio,14,10,'2.16,Wed Apr 20 2022 10:07:55 GMT+0800 (中国标准时间),1650420475
e4y,14,10,'1.41,Wed Apr 20 2022 10:24:15 GMT+0800 (中国标准时间),1650421455
涩谷香音,14,10,'1.93,Wed Apr 20 2022 10:38:25 GMT+0800 (中国标准时间),1650422305
岚千砂都,14,10,'1.69,Wed Apr 20 2022 10:40:51 GMT+0800 (中国标准时间),1650422451
湘大刘德华,14,10,'2.21,Wed Apr 20 2022 10:41:47 GMT+0800 (中国标准时间),1650422507
乐天夏,20,14,'3.21,Wed Apr 20 2022 10:46:59 GMT+0800 (中国标准时间),1650422819
乐天夏,20,14,'1.35,Wed Apr 20 2022 10:49:10 GMT+0800 (中国标准时间),1650422950
九州化身,14,10,'1.99,Wed Apr 20 2022 10:49:22 GMT+0800 (中国标准时间),1650422962
圣泽悠奈,14,10,'2.76,Wed Apr 20 2022 10:50:49 GMT+0800 (CST),1650423049
昔,14,10,'2.62,Wed Apr 20 2022 10:51:07 GMT+0800 (CST),1650423067
九州化身,14,10,'2.51,Wed Apr 20 2022 10:53:43 GMT+0800 (中国标准时间),1650423223
涩谷香音,14,10,'2.17,Wed Apr 20 2022 11:08:48 GMT+0800 (中国标准时间),1650424128
涩谷香音,14,10,'1.28,Wed Apr 20 2022 11:08:58 GMT+0800 (中国标准时间),1650424138
岚千砂都,14,10,'2.81,Wed Apr 20 2022 11:16:24 GMT+0800 (中国标准时间),1650424584
岚千砂都,14,10,'2.04,Wed Apr 20 2022 11:17:02 GMT+0800 (中国标准时间),1650424622
岚千砂都,14,10,'1.19,Wed Apr 20 2022 11:17:41 GMT+0800 (中国标准时间),1650424661
岚千砂都,14,10,'1.91,Wed Apr 20 2022 11:17:50 GMT+0800 (中国标准时间),1650424670
小莫,14,14,'2.27,Wed Apr 20 2022 11:30:30 GMT+0800 (中国标准时间),1650425430
平安名堇,14,10,'2.62,Wed Apr 20 2022 11:41:23 GMT+0800 (中国标准时间),1650426083
叶月恋,20,14,'1.62,Wed Apr 20 2022 12:01:25 GMT+0800 (中国标准时间),1650427285
柊摩央,14,10,'2.53,Wed Apr 20 2022 12:58:09 GMT+0800 (CST),1650430689
圣泽悠奈,14,10,'2.86,Wed Apr 20 2022 13:11:41 GMT+0800 (中国标准时间),1650431501
圣泽悠奈,20,14,'1.60,Wed Apr 20 2022 13:12:01 GMT+0800 (中国标准时间),1650431521
唐可可,14,10,'2.97,Wed Apr 20 2022 13:21:52 GMT+0800 (中国标准时间),1650432112
憶ちゃん,20,14,'5.96,Wed Apr 20 2022 13:40:19 GMT+0800 (香港标准时间),1650433219
鲢吾．狛枝凪斗,14,10,'1.79,Wed Apr 20 2022 13:42:31 GMT+0800 (CST),1650433351
鲢吾．狛枝凪斗,14,10,'2.43,Wed Apr 20 2022 13:47:13 GMT+0800 (CST),1650433633
唐可可,14,10,'2.12,Wed Apr 20 2022 13:48:06 GMT+0800 (中国标准时间),1650433686
鲢吾．狛枝凪斗,14,10,'1.88,Wed Apr 20 2022 13:49:21 GMT+0800 (CST),1650433761
乱点的,14,10,'1.49,Wed Apr 20 2022 13:50:26 GMT+0800 (中国标准时间),1650433826
圣泽悠奈,14,10,'2.44,Wed Apr 20 2022 14:04:07 GMT+0800 (中国标准时间),1650434647
圣泽悠奈,14,10,'2.14,Wed Apr 20 2022 14:04:24 GMT+0800 (中国标准时间),1650434664
圣泽悠奈,14,10,'1.48,Wed Apr 20 2022 14:04:32 GMT+0800 (中国标准时间),1650434672
岚千砂都,14,10,'1.79,Wed Apr 20 2022 14:11:54 GMT+0800 (中国标准时间),1650435114
milae,14,14,'1.89,Wed Apr 20 2022 14:13:47 GMT+0800 (中国标准时间),1650435227
豆奶,14,10,'2.74,Wed Apr 20 2022 14:13:48 GMT+0800 (中国标准时间),1650435228
YSDNB,14,10,'1.94,Wed Apr 20 2022 14:51:47 GMT+0800 (GMT+08:00),1650437507
YSDNB,20,14,'4.17,Wed Apr 20 2022 14:52:57 GMT+0800 (GMT+08:00),1650437577
叶月恋,14,10,'2.15,Wed Apr 20 2022 14:55:05 GMT+0800 (中国标准时间),1650437705
岚千砂都,14,10,'2.73,Wed Apr 20 2022 14:56:02 GMT+0800 (中国标准时间),1650437762
岚千砂都,14,10,'1.87,Wed Apr 20 2022 14:56:17 GMT+0800 (中国标准时间),1650437777
叶月恋,14,10,'2.74,Wed Apr 20 2022 14:56:22 GMT+0800 (中国标准时间),1650437782
岚千砂都,14,10,'2.16,Wed Apr 20 2022 14:56:34 GMT+0800 (中国标准时间),1650437794
岚千砂都,14,10,'1.43,Wed Apr 20 2022 14:56:40 GMT+0800 (中国标准时间),1650437800
岚千砂都,14,10,'2.18,Wed Apr 20 2022 14:56:46 GMT+0800 (中国标准时间),1650437806
岚千砂都,14,10,'2.20,Wed Apr 20 2022 14:57:00 GMT+0800 (中国标准时间),1650437820
圣泽悠奈,20,14,'1.98,Wed Apr 20 2022 14:59:04 GMT+0800 (香港标准时间),1650437944
Kiwiiwik,14,10,'0.71,Wed Apr 20 2022 14:59:37 GMT+0800 (香港标准时间),1650437977
柊摩央,14,10,'1.90,Wed Apr 20 2022 15:08:52 GMT+0800 (中国标准时间),1650438532
唐可可,14,10,'2.91,Wed Apr 20 2022 15:09:15 GMT+0800 (CST),1650438555
德克萨斯刘近星,14,10,'2.68,Wed Apr 20 2022 15:18:57 GMT+0800 (中国标准时间),1650439137
唐可可老公刘近兴,14,10,'1.53,Wed Apr 20 2022 15:19:25 GMT+0800 (中国标准时间),1650439165
唐可可老公刘近兴,20,14,'1.80,Wed Apr 20 2022 15:22:31 GMT+0800 (中国标准时间),1650439351
1,14,10,'1.45,Wed Apr 20 2022 15:34:03 GMT+0800 (中国标准时间),1650440043
1,14,10,'1.95,Wed Apr 20 2022 15:34:17 GMT+0800 (中国标准时间),1650440057
1,14,10,'1.01,Wed Apr 20 2022 15:34:22 GMT+0800 (中国标准时间),1650440062
1,14,10,'1.33,Wed Apr 20 2022 15:34:26 GMT+0800 (中国标准时间),1650440066
1,14,10,'1.39,Wed Apr 20 2022 15:34:32 GMT+0800 (中国标准时间),1650440072
1,14,10,'1.43,Wed Apr 20 2022 15:34:36 GMT+0800 (中国标准时间),1650440076
合约牛奶,14,10,'2.67,Wed Apr 20 2022 15:46:53 GMT+0800 (CST),1650440813
HaReYuMe,20,14,'5.04,Wed Apr 20 2022 16:00:09 GMT+0800 (中国标准时间),1650441609
HaReYuMe,14,10,'2.88,Wed Apr 20 2022 16:00:50 GMT+0800 (中国标准时间),1650441650
HaReYuMe,20,14,'2.01,Wed Apr 20 2022 16:01:09 GMT+0800 (中国标准时间),1650441669
HaReYuMe,14,14,'1.28,Wed Apr 20 2022 16:01:31 GMT+0800 (中国标准时间),1650441691
HaReYuMe,20,14,'5.38,Wed Apr 20 2022 16:01:51 GMT+0800 (中国标准时间),1650441711
HaReYuMe,20,14,'2.77,Wed Apr 20 2022 16:01:59 GMT+0800 (中国标准时间),1650441719
HaReYuMe,14,10,'1.52,Wed Apr 20 2022 16:02:10 GMT+0800 (中国标准时间),1650441730
圣泽悠奈,14,10,'1.15,Wed Apr 20 2022 16:28:33 GMT+0800 (中国标准时间),1650443313
Jonny,14,10,'2.87,Wed Apr 20 2022 16:37:05 GMT+0800 (中国标准时间),1650443825
姚宇翔,20,20,'3.74,Wed Apr 20 2022 17:01:14 GMT+0800 (CST),1650445274
姚宇翔,20,20,'2.38,Wed Apr 20 2022 17:04:31 GMT+0800 (CST),1650445471
岚千砂都,14,10,'2.89,Wed Apr 20 2022 17:09:03 GMT+0800 (CST),1650445743
涩谷香音,14,10,'1.11,Wed Apr 20 2022 17:09:37 GMT+0800 (CST),1650445777
岚千砂都,14,10,'1.30,Wed Apr 20 2022 17:10:39 GMT+0800 (CST),1650445839
柊摩央,14,10,'1.13,Wed Apr 20 2022 17:11:19 GMT+0800 (CST),1650445879
岚千砂都,14,10,'1.64,Wed Apr 20 2022 17:11:34 GMT+0800 (CST),1650445894
平安名堇,14,10,'0.90,Wed Apr 20 2022 17:11:50 GMT+0800 (CST),1650445910
姚宇翔,14,10,'2.56,Wed Apr 20 2022 17:16:24 GMT+0800 (CST),1650446184
姚宇翔,14,10,'1.60,Wed Apr 20 2022 17:17:52 GMT+0800 (CST),1650446272
墨,14,10,'1.11,Wed Apr 20 2022 17:19:34 GMT+0800 (中国标准时间),1650446374
墨,14,10,'1.57,Wed Apr 20 2022 17:20:08 GMT+0800 (中国标准时间),1650446408
墨,14,10,'2.12,Wed Apr 20 2022 17:20:18 GMT+0800 (中国标准时间),1650446418
叶月恋,14,10,'1.38,Wed Apr 20 2022 17:21:07 GMT+0800 (CST),1650446467
叶月恋,14,10,'1.34,Wed Apr 20 2022 17:21:12 GMT+0800 (CST),1650446472
叶月恋,14,10,'0.99,Wed Apr 20 2022 17:21:22 GMT+0800 (CST),1650446482
叶月恋,14,10,'1.85,Wed Apr 20 2022 17:21:29 GMT+0800 (CST),1650446489
周阴婷,14,10,'2.93,Wed Apr 20 2022 18:06:04 GMT+0800 (中国标准时间),1650449164
saito,14,10,'1.72,Wed Apr 20 2022 18:16:15 GMT+0800 (中国标准时间),1650449775
柊摩央,14,10,'1.73,Wed Apr 20 2022 18:16:57 GMT+0800 (中国标准时间),1650449817
涩谷香音,14,10,'2.65,Wed Apr 20 2022 18:17:07 GMT+0800 (中国标准时间),1650449827
saito,20,14,'1.74,Wed Apr 20 2022 18:19:37 GMT+0800 (中国标准时间),1650449977
咖喱饭,14,10,'2.65,Wed Apr 20 2022 18:30:24 GMT+0800 (中国标准时间),1650450624
岚千砂都,14,10,'2.09,Wed Apr 20 2022 18:41:07 GMT+0800 (中国标准时间),1650451267
岚千砂都,14,10,'1.45,Wed Apr 20 2022 18:41:13 GMT+0800 (中国标准时间),1650451273
岚千砂都,14,10,'1.26,Wed Apr 20 2022 18:41:17 GMT+0800 (中国标准时间),1650451277
岚千砂都,14,10,'2.39,Wed Apr 20 2022 18:41:51 GMT+0800 (中国标准时间),1650451311
岚千砂都,14,10,'1.65,Wed Apr 20 2022 18:41:59 GMT+0800 (中国标准时间),1650451319
岚千砂都,14,10,'1.96,Wed Apr 20 2022 18:42:06 GMT+0800 (中国标准时间),1650451326
岚千砂都,14,10,'2.73,Wed Apr 20 2022 18:42:37 GMT+0800 (中国标准时间),1650451357
岚千砂都,14,10,'1.36,Wed Apr 20 2022 18:42:44 GMT+0800 (中国标准时间),1650451364
岚千砂都,14,10,'2.23,Wed Apr 20 2022 18:42:50 GMT+0800 (中国标准时间),1650451370
柊摩央,14,10,'1.39,Wed Apr 20 2022 19:07:24 GMT+0800 (中国标准时间),1650452844
圣泽悠奈,14,10,'1.70,Wed Apr 20 2022 19:37:48 GMT+0800 (中国标准时间),1650454668
柊摩央,14,10,'1.92,Wed Apr 20 2022 19:42:23 GMT+0800 (中国标准时间),1650454943
11037,14,10,'2.85,Wed Apr 20 2022 20:00:13 GMT+0800 (CST),1650456013
唐可可,14,10,'1.38,Wed Apr 20 2022 20:01:08 GMT+0800 (香港标准时间),1650456068
唐可可,20,14,'1.52,Wed Apr 20 2022 20:01:14 GMT+0800 (香港标准时间),1650456074
唐可可,20,14,'1.67,Wed Apr 20 2022 20:05:59 GMT+0800 (香港标准时间),1650456359
唐可可,20,20,'2.27,Wed Apr 20 2022 20:10:31 GMT+0800 (香港标准时间),1650456631
岚千砂都,14,10,'2.09,Wed Apr 20 2022 20:17:26 GMT+0800 (中国标准时间),1650457046
岚千砂都,14,10,'1.16,Wed Apr 20 2022 20:17:55 GMT+0800 (中国标准时间),1650457075
岚千砂都,14,10,'1.00,Wed Apr 20 2022 20:18:01 GMT+0800 (中国标准时间),1650457081
岚千砂都,14,10,'1.38,Wed Apr 20 2022 20:18:07 GMT+0800 (中国标准时间),1650457087
岚千砂都,14,10,'1.70,Wed Apr 20 2022 20:18:13 GMT+0800 (中国标准时间),1650457093
