玩家名,行,列,用时/秒,时间,UNIX时间戳
luca用booba 创我,14,10,'1.92,Fri Jan 28 2022 14:58:53 GMT+0800 (CST),1643353133
luca用booba 创我,14,10,'1.57,Fri Jan 28 2022 14:59:18 GMT+0800 (CST),1643353158
luca用booba 创我,14,10,'1.45,Fri Jan 28 2022 14:59:33 GMT+0800 (CST),1643353173
luca用booba 创我,20,20,'4.57,Fri Jan 28 2022 15:00:29 GMT+0800 (CST),1643353229
luca用booba 创我,20,20,'3.48,Fri Jan 28 2022 15:00:39 GMT+0800 (CST),1643353239
luca用booba 创我,20,20,'2.65,Fri Jan 28 2022 15:00:47 GMT+0800 (CST),1643353247
luca用booba 创我,14,14,'3.38,Fri Jan 28 2022 15:01:26 GMT+0800 (CST),1643353286
luca用booba 创我,14,14,'1.74,Fri Jan 28 2022 15:01:33 GMT+0800 (CST),1643353293
luca用booba 创我,14,14,'1.42,Fri Jan 28 2022 15:01:38 GMT+0800 (CST),1643353298
唐可可,14,10,'2.36,Fri Jan 28 2022 15:02:32 GMT+0800 (中国标准时间),1643353352
luca用booba 创我,14,14,'1.63,Fri Jan 28 2022 15:03:08 GMT+0800 (CST),1643353388
叶月恋,14,10,'1.42,Fri Jan 28 2022 15:04:51 GMT+0800 (中国标准时间),1643353491
luca用booba 创我,14,10,'1.42,Fri Jan 28 2022 15:04:56 GMT+0800 (CST),1643353496
luca用booba 创我,14,10,'1.40,Fri Jan 28 2022 15:05:12 GMT+0800 (CST),1643353512
luca用booba 创我,14,10,'1.43,Fri Jan 28 2022 15:05:50 GMT+0800 (CST),1643353550
luca用booba 创我,14,10,'1.27,Fri Jan 28 2022 15:06:03 GMT+0800 (CST),1643353563
柊摩央,14,10,'2.18,Fri Jan 28 2022 15:06:04 GMT+0800 (中国标准时间),1643353564
luca用booba 创我,14,10,'1.23,Fri Jan 28 2022 15:06:10 GMT+0800 (CST),1643353570
涩谷香音,14,10,'1.08,Fri Jan 28 2022 15:06:43 GMT+0800 (中国标准时间),1643353603
luca用booba 创我,14,10,'1.35,Fri Jan 28 2022 15:06:59 GMT+0800 (CST),1643353619
圣泽悠奈,14,10,'1.70,Fri Jan 28 2022 15:09:06 GMT+0800 (中国标准时间),1643353746
baici002,20,14,'1.81,Fri Jan 28 2022 16:00:00 GMT+0800 (中国标准时间),1643356800
baici002,20,14,'5.35,Fri Jan 28 2022 16:00:52 GMT+0800 (中国标准时间),1643356852
涩谷香音,14,10,'2.02,Fri Jan 28 2022 16:01:08 GMT+0800 (China Standard Time),1643356868
涩谷香音,14,10,'1.25,Fri Jan 28 2022 16:01:23 GMT+0800 (China Standard Time),1643356883
涩谷香音,14,10,'1.05,Fri Jan 28 2022 16:01:36 GMT+0800 (China Standard Time),1643356896
mcczai,14,10,'1.29,Fri Jan 28 2022 16:16:25 GMT+0800 (中国标准时间),1643357785
mcczai,14,10,'1.50,Fri Jan 28 2022 16:16:59 GMT+0800 (中国标准时间),1643357819
SlenderData,14,10,'1.89,Fri Jan 28 2022 16:19:11 GMT+0800 (中国标准时间),1643357951
SlenderData,14,10,'1.52,Fri Jan 28 2022 16:20:36 GMT+0800 (中国标准时间),1643358036
圣泽悠奈,20,14,'1.48,Fri Jan 28 2022 16:23:18 GMT+0800 (中国标准时间),1643358198
